Title,Category 2,Category 3,Supplement Facts,fail_reason
"Culturelle, Probiotics, Digestive Daily Probiotic, 10 Billion CFUs, 50 Once Daily Vegetarian Capsules",Lactobacillus,,"Supplement FactsServing Size: One (1) Capsule Amount Per Serving% Daily ValueCalories0 Total Carbohydrate0 g0%+Total Sugars0 g**Incl. 0 g Added Sugars 0%+Lactobacillus rhamnosus GG40 mg (10 billion CFUs)**Inulin (Chicory Root Extract)200 mg**+Percent Daily Values are based on a 2,000 calorie diet.**Daily Value not established.",성분 추출 실패
"Nature's Secret, 7-Day Ultimate Cleanse, 2-Part Total-Body Cleanse, 2 Bottles, 36 Tablets Each",Detox & Cleanse Formulas,Herbal Formulas,"Part 1: Multi-Herb Digestion & Detox SupportSupplement FactsServing Size: 1 TabletServings Per Container: 36Amount Per Serving% Daily ValueTotal Carbohydrates1 g <1%**Calcium (as Calcium Carbonate)60 mg5%Iodine (as Kelp from Proprietary Blend)13 mcg9%Proprietary BlendAlfalfa powder (leaf), Fenugreek powder (seed), Dandelion(Taraxacum officinale) powder (root), Fennel powder (seed), Yarrow(Achillea millefolium) powder (flower), Eleuthero extract (0.8%eleutherosides) (root), Green Tea extract (50% polyphenols, 6%caffeine) (leaf), Hawthorn (Crataegus monogyna) powder (fruit),Horsetail (Equisetum arvense) powder (aerial), Licorice (Glycyrrhizaglabra) powder (root, rhizome), Marshmallow powder (root),Peppermint powder (leaf), Red Clover powder (flower tops), RedRaspberry (Rubus idaeus) powder (leaf), Safflower Oil powder(flower), Skullcap powder (herb), Burdock (Arctium lappa) powder(root), Chickweed powder (aerial), Mullein (Verbascum thapsus)powder (leaf), Papaya powder (leaf), Black Cohosh powder (rootand rhizome), Clubmoss powder (herb), Ginger powder (rhizome),Ginkgo extract (4:1)(leaf), Irish Moss (Chondrus crispus) powder(whole plant), Kelp (Laminaria spp.) powder, Plantain powder (leaf),Slippery Elm powder (bark), Yellow Dock powder (root), Milk Thistleextract (80% silymarin) (seed), Cayenne powder (fruit), Echinaceaangustifolia powder (root)640 mg†**%Daily Value based on a 2,000 calorie diet.† Daily Value not established.",성분 추출 실패
"Zhou Nutrition, Energy + Focus, 60 Veggie Capsules",Cognitive & Memory Formulas,Energy Formulas,Supplement FactsServing Size: 1 Vegetable CapsuleServings Per Container: 60Amount Per Serving% Daily ValueL-Theanine200 mg**L-Leucine10 mg**Natural Caffeine (Anhydrous) (extracted from 95% Coffee arabica and 5% Coffea canephora)100 mg****Daily Value (DV) not established.,성분 추출 실패
"Dr. Mercola, Organic Fermented Turmeric, 180 Capsules",Turmeric & Curcumin,,"Supplement FactsServing Size: 1 CapsulesServing Per Container: 180 Amount Per Capsule%DVAmount Per (2 Capsules) %DVOrganic Fermented Turmeric(Curcuma longa) Rhizome Powder370 mg*740 mg*Organic Turmeric(Curcuma longa) Rhizome Extract80 mg*160 mg*Curcuminoids76 mg*152 mg**Percent Daily Values (DV) are based on a 2,000 calorie diet.",성분 추출 실패
"Eclectic Institute, Freeze Dried Fresh, Turmeric, 395 mg, 90 Veg Caps",Turmeric & Curcumin,,Supplement FactsServing Size: 1 capsule Amount Per Serving%DVOrganic Freeze-dried Turmeric rhizome (Curcuma longa)395 mg††Daily Value not established.,성분 추출 실패
"Solgar, Selenium, Yeast-Free, 100 mcg, 100 Tablets",Selenium,,Supplement FactsServing Size: 1 Tablet Amount Per Serving% DVSelenium (as L-selenomethionine)100 mcg182%DV = Daily Value.,성분 추출 실패
"Reviva Labs, High Potency Vitamin C Serum, 1 fl oz (29.5 ml)",Brightening,Vitamin C Serums,,공란 또는 타입 오류
"Kyolic, Aged Garlic Extract, Reserve, 60 Capsules",Garlic,,Supplement FactsServing Size: 2 capsulesServings Per Container: 30Amount per serving%Daily ValueAged Garlic Extract™†† Powder (bulb)1200 mg****Daily Value not established††Special Garlic Preparation,성분 추출 실패
"Vital Proteins, Matcha Collagen, Original Matcha, 12 oz (341 g)",Collagen Supplements,,"Supplement FactsServing Size: 1 Scoop (14 g)Servings Per Container: About 24 Amount Per Serving%Daily ValueCalories50 Total Carbohydrate3 g1%*Total Sugars2 g**Protein9 g0%* Sodium60 mg3%Collagen peptides (from bovine)10 g**Caffeine50 mg**L-Theanine20 mg**Percent Daily Values (DV) are based on a 2,000 calorie diet.*Daily Value not established",성분 추출 실패
"Vital Proteins, Collagen Peptides, Dark Chocolate Blackberry, 10.8 oz (305 g)",Collagen Supplements,,"Supplement FactsServing Size: 1 Scoop (30 g)Servings Per Container: About 10 Amount Per Serving%Daily ValueCalories110 Total Carbohydrate8 g3%*Total Sugars5 g**Protein18 g0%* Magnesium20 mg5%Sodium110 mg5%Potassium300 mg6%Collagen peptides (from bovine)20 g***Percent Daily Values are based on a 2,000 calorie diet.**Daily Value not established.",성분 추출 실패
